日期,商品(契約),商品名稱(契約名稱),到期月份(週別),交易人類別,前五大交易人買方,前五大交易人賣方,前十大交易人買方,前十大交易人賣方,全市場未沖銷部位數
2026/07/29,FT     ,華通期貨,999999  ,0,1384,2494,1781,2833,3251
2026/07/29,FT     ,華通期貨,999999  ,1,1384,2494,1662,2668,3251
2026/07/29,FV     ,精英期貨,202608  ,0,241,286,284,302,303
2026/07/29,FV     ,精英期貨,202608  ,1,104,286,114,293,303
2026/07/29,FV     ,精英期貨,999999  ,0,241,294,284,310,311
2026/07/29,FV     ,精英期貨,999999  ,1,104,294,114,301,311
2026/07/29,FW     ,友訊期貨,202608  ,0,604,1444,831,1613,1792
2026/07/29,FW     ,友訊期貨,202608  ,1,406,1299,442,1443,1792
2026/07/29,FW     ,友訊期貨,999999  ,0,604,1480,831,1654,1875
2026/07/29,FW     ,友訊期貨,999999  ,1,406,1335,442,1509,1875
2026/07/29,FY     ,台亞期貨,202608  ,0,440,797,603,803,803
2026/07/29,FY     ,台亞期貨,202608  ,1,440,795,567,797,803
2026/07/29,FY     ,台亞期貨,999999  ,0,441,849,615,857,858
2026/07/29,FY     ,台亞期貨,999999  ,1,441,841,544,843,858
2026/07/29,FZ     ,華邦電期貨,202608  ,0,8477,11373,10462,15663,18695
2026/07/29,FZ     ,華邦電期貨,202608  ,1,686,11373,1708,15663,18695
2026/07/29,FZ     ,華邦電期貨,999999  ,0,8477,11904,10573,16444,20040
2026/07/29,FZ     ,華邦電期貨,999999  ,1,686,11904,1819,16444,20040
2026/07/29,G2F    ,富櫃200期貨,202608  ,0,47,46,47,47,47
2026/07/29,G2F    ,富櫃200期貨,202608  ,1,44,4,44,4,47
2026/07/29,G2F    ,富櫃200期貨,999999  ,0,48,48,49,49,49
2026/07/29,G2F    ,富櫃200期貨,999999  ,1,44,4,44,4,49
2026/07/29,GA     ,聯強期貨,202608  ,0,271,244,298,297,303
2026/07/29,GA     ,聯強期貨,202608  ,1,257,244,269,297,303
2026/07/29,GA     ,聯強期貨,999999  ,0,274,247,301,300,306
2026/07/29,GA     ,聯強期貨,999999  ,1,257,247,269,300,306
2026/07/29,GC     ,鴻準期貨,202608  ,0,476,757,608,809,828
2026/07/29,GC     ,鴻準期貨,202608  ,1,357,757,437,802,828
2026/07/29,GC     ,鴻準期貨,999999  ,0,485,825,632,878,906
2026/07/29,GC     ,鴻準期貨,999999  ,1,357,825,424,865,906
2026/07/29,GDF    ,黃金期貨,202608  ,0,186,269,241,269,269
2026/07/29,GDF    ,黃金期貨,202608  ,1,0,0,0,0,269
2026/07/29,GDF    ,黃金期貨,999999  ,0,210,319,271,319,319
2026/07/29,GDF    ,黃金期貨,999999  ,1,0,50,0,50,319
2026/07/29,GH     ,技嘉期貨,202608  ,0,1448,2537,1867,2698,2776
2026/07/29,GH     ,技嘉期貨,202608  ,1,1270,2537,1558,2638,2776
2026/07/29,GH     ,技嘉期貨,999999  ,0,1448,2569,1916,2778,2920
2026/07/29,GH     ,技嘉期貨,999999  ,1,1270,2569,1507,2718,2920
2026/07/29,GI     ,微星期貨,202608  ,0,690,2117,1027,2200,2222
2026/07/29,GI     ,微星期貨,202608  ,1,490,2117,767,2167,2222
2026/07/29,GI     ,微星期貨,999999  ,0,690,2158,1039,2310,2343
2026/07/29,GI     ,微星期貨,999999  ,1,490,2158,779,2267,2343
2026/07/29,GJ     ,瑞昱期貨,202608  ,0,258,418,356,436,445
2026/07/29,GJ     ,瑞昱期貨,202608  ,1,183,406,254,413,445
2026/07/29,GJ     ,瑞昱期貨,999999  ,0,258,425,356,443,454
2026/07/29,GJ     ,瑞昱期貨,999999  ,1,183,413,254,422,454
2026/07/29,GK     ,群光期貨,202608  ,0,100,231,136,242,242
2026/07/29,GK     ,群光期貨,202608  ,1,85,231,92,237,242
2026/07/29,GK     ,群光期貨,999999  ,0,102,265,145,276,278
2026/07/29,GK     ,群光期貨,999999  ,1,72,265,92,272,278
2026/07/29,GL     ,正崴期貨,202608  ,0,211,271,258,286,286
2026/07/29,GL     ,正崴期貨,202608  ,1,85,271,108,284,286
2026/07/29,GL     ,正崴期貨,999999  ,0,211,297,272,313,314
2026/07/29,GL     ,正崴期貨,999999  ,1,85,297,108,311,314
2026/07/29,GM     ,億光期貨,202608  ,0,91,146,133,163,167
2026/07/29,GM     ,億光期貨,202608  ,1,60,104,96,106,167
2026/07/29,GM     ,億光期貨,999999  ,0,91,146,133,163,168
2026/07/29,GM     ,億光期貨,999999  ,1,60,104,96,106,168
2026/07/29,GN     ,凌陽期貨,202608  ,0,209,408,289,429,434
2026/07/29,GN     ,凌陽期貨,202608  ,1,209,408,235,420,434
2026/07/29,GN     ,凌陽期貨,999999  ,0,209,411,289,436,446
2026/07/29,GN     ,凌陽期貨,999999  ,1,209,411,235,429,446
2026/07/29,GO     ,漢唐期貨,202608  ,0,70,139,116,179,213
2026/07/29,GO     ,漢唐期貨,202608  ,1,30,139,57,179,213
2026/07/29,GO     ,漢唐期貨,999999  ,0,70,144,119,190,228
2026/07/29,GO     ,漢唐期貨,999999  ,1,30,144,60,190,228
2026/07/29,GR     ,京元電子期貨,202608  ,0,151,231,221,386,3688
2026/07/29,GR     ,京元電子期貨,202608  ,1,82,91,152,216,3688
2026/07/29,GR     ,京元電子期貨,999999  ,0,1455,2930,1920,3379,4002
2026/07/29,GR     ,京元電子期貨,999999  ,1,1455,2930,1767,3379,4002
